Coef	Mean	Std.Err
Leu	-0.017150722854404447	0.009475870450215416
Pro	0.0339478214930121	0.012618251882408029
Met	-0.02998446853690977	0.022340568880223517
Trp	0.009866019649711219	0.017192356600667865
Ala	0.0359691298116716	0.010600477018116174
Val	-0.01808821549584365	0.01001560356934176
Phe	-0.03414168005124018	0.0152852904376856
Ile	-0.07150401930614118	0.01645209606856998
Gly	0.018128062957509787	0.008914645396155517
Ser	0.028357303059635842	0.00886333336028285
Thr	-0.0015987369106326855	0.01401163951172656
Cys	-0.004194030752553708	0.013542780541370519
Asn	-0.021380176225746124	0.02201323841218918
Gln	0.021134740107655432	0.01735614092536268
Tyr	-0.020255891720565244	0.019914552948734746
His	-0.03149109119645784	0.017826909003594637
Asp	0.018869564824253875	0.017211130189706807
Glu	-0.014983853873673885	0.016332653290379296
Lys	-0.01806423743104933	0.020616617562032476
Arg	-0.009631155277635051	0.008768144347911228
